,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
350,西安子乐八音教育科技有限公司,八音App,15-50人,天使轮,长安区,php开发工程师,3-5年,本科,8k-15k,转正享有五险一金,"移动互联网,消费生活",开发|测试|运维类,,后端开发,西安
351,北京顺丰同城科技有限公司,顺丰同城科技,500-2000人,不需要融资,海淀区,高级php开发工程师,3-5年,本科,15k-30k,团队扁平 氛围open,移动互联网,开发|测试|运维类,,后端开发,北京
352,深圳市田丁互联网科技有限公司,田丁科技,50-150人,不需要融资,南山区,php高级开发工程师,5-10年,本科,20k-25k,大平台,"移动互联网,消费生活",开发|测试|运维类,"绩效奖金,年终分红,带薪年假,股票期权",后端开发,深圳
353,广州初润信息科技有限公司,初润科技,15-50人,天使轮,天河区,PHP工程师(微信生态),1-3年,本科,5k-10k,五险一金 股份期权 年终奖金 员工旅游,"移动互联网,企业服务",开发|测试|运维类,"年底双薪,股票期权,专项奖金,年终分红",后端开发,广州
354,广东堡塔安全技术有限公司,广东堡塔安全技术有限公司,15-50人,天使轮,东莞市市辖区,php程序员,1-3年,不限,8k-10k,五险，包吃，下午茶，节日福利，员工旅游,"信息安全,软件开发",开发|测试|运维类,,后端开发,东莞
355,贝壳找房（北京）科技有限公司,贝壳,2000人以上,上市公司,海淀区,中高级PHP开发工程师,3-5年,本科,25k-45k,大牛相伴、技术氛围好,房产家居,开发|测试|运维类,"股票期权,带薪年假,绩效奖金,扁平管理",后端开发,北京
356,杭州中格富进出口有限公司,中格富集团,150-500人,未融资,萧山区,PHP程序员（外贸通）,在校/应届,大专,4k-6k,五险、绩效奖金、高温补贴,"金融,其他",开发|测试|运维类,"年度旅游,绩效奖金,管理规范,领导好",后端开发,杭州
357,深圳市换换优品科技有限公司,换换优品,50-150人,不需要融资,南山区,php开发工程师,1-3年,本科,10k-15k,氛围良好,"移动互联网,电商",开发|测试|运维类,"带薪年假,专项奖金,晋升空间大,发展舞台广",后端开发,深圳
358,杭州微拍堂文化创意有限公司,微拍堂,500-2000人,A轮,西湖区,后端PHP开发实习生（2021届） (MJ000280),在校/应届,本科,6k-8k,最高18薪，六险一金，高额餐补全勤奖,"移动互联网,电商",开发|测试|运维类,"岗位晋升,年度旅游,年底双薪,午餐补助",后端开发,杭州
359,江苏物润船联网络股份有限公司,江苏物润船联,50-150人,上市公司,宝安区,php工程师,3-5年,不限,10k-16k,"五险一金,项目奖励,领导好,绩效奖金","电商,企业服务",开发|测试|运维类,"股票期权,五险一金,通讯津贴,带薪年假",后端开发,深圳
360,江苏物润船联网络股份有限公司,江苏物润船联,50-150人,上市公司,宝安区,php开发工程师,3-5年,本科,10k-16k,公司稳定、技术成长空间大,"电商,企业服务",开发|测试|运维类,"股票期权,五险一金,通讯津贴,带薪年假",后端开发,深圳
361,北京口袋财富信息科技有限公司,理财魔方,50-150人,A轮,海淀区,PHP高级工程师,3-5年,本科,20k-40k,有竞争力的薪资、弹性工作、业务前景好,"移动互联网,金融",开发|测试|运维类,"股票期权,专项奖金,带薪年假,年度旅游",后端开发,北京
362,郑州乐驰软件科技有限公司高新区分公司,乐驰软件,50-150人,未融资,滨江区,php开发工程师,1-3年,大专,11k-15k,周末双休 大牛带队,移动互联网,开发|测试|运维类,"弹性工作,领导好,五险一金,扁平管理",后端开发,杭州
363,上海瑛太莱信息科技有限公司,瑛太莱,500-2000人,不需要融资,长宁区,php开发工程师,1-3年,本科,15k-25k,年底双薪 年度体检 年度旅游 下午茶,电商,开发|测试|运维类,"带薪年假,年底双薪,年度旅游,弹性工作",后端开发,上海
364,深圳市星翼创想网络科技有限公司,深圳市星翼创想网络科技有限公司,15-50人,未融资,罗湖区,PHP开发工程师,1-3年,大专,5k-10k,免费零食饮料 弹性工作时间,"电商,移动互联网",开发|测试|运维类,"绩效奖金,带薪年假,通讯津贴,年度旅游",后端开发,深圳
365,北京快跑信息科技有限公司,小猪,500-2000人,D轮及以上,海淀区,php开发工程师,5-10年,本科,25k-35k,氛围好 福利多多！,电商,开发|测试|运维类,"岗位晋升,领导好,管理规范,带薪年假",后端开发,北京
366,北京快跑信息科技有限公司,小猪,500-2000人,D轮及以上,海淀区,php开发工程师,3-5年,本科,20k-25k,氛围好 福利多多！,电商,开发|测试|运维类,"岗位晋升,领导好,管理规范,带薪年假",后端开发,北京
367,深圳市星辰互动娱乐有限公司,星辰互动,15-50人,B轮,南山区,php开发工程师,3-5年,本科,15k-18k,朝十晚六，带薪年假，节日福利，年度体检,游戏,开发|测试|运维类,"带薪年假,节日礼物,弹性工作,扁平管理",后端开发,深圳
368,北京博学明辨科技有限公司,博学明辨,50-150人,A轮,朝阳区,PHP高级工程师,3-5年,本科,15k-25k,扁平管理 蓝海市场,"电商,社交",开发|测试|运维类,"带薪年假,交通补助,午餐补助,通讯津贴",后端开发,北京
369,广州不可思议网络科技有限公司,不可思议,15-50人,未融资,番禺区,php开发工程师,3-5年,大专,8k-12k,工作较轻松 无需加班 90后团队,"移动互联网,消费生活",开发|测试|运维类,,后端开发,广州
370,深圳市法本信息技术股份有限公司,法本信息,2000人以上,上市公司,福田区,php开发工程师,3-5年,大专,13k-15k,大平台、年度体检、带薪年假,"企业服务,软件开发",开发|测试|运维类,,后端开发,深圳
371,珠海普及信息科技有限公司,珠海普及,15-50人,未融资,香洲区,php开发工程师,1年以下,大专,6k-11k,"带薪年假,五险一金,大小周,节日福利","移动互联网,消费生活",开发|测试|运维类,"带薪年假,绩效奖金,定期体检,年终分红",后端开发,珠海
372,深圳有咖互动科技有限公司,有咖互动,150-500人,B轮,朝阳区,php开发工程师,1-3年,本科,9k-16k,七险一金，**撸猫，可可爱爱,移动互联网,开发|测试|运维类,"绩效奖金,年底双薪,带薪年假,弹性工时",后端开发,北京
373,广州穗源网络科技有限公司,穗源网络科技,少于15人,未融资,番禺区,PHP工程师,1-3年,本科,3k-6k,"绩效奖金,晋升空间大,快速成长","移动互联网,企业服务",开发|测试|运维类,"初创企业,外包,绩效奖金",后端开发,广州
374,广州微易传网络科技有限公司,微易传,15-50人,天使轮,天河区,php开发工程师,在校/应届,本科,5k-6k,有大神带路，欢迎学习能力强的应届生投简历,"移动互联网,电商",开发|测试|运维类,"年底双薪,定期体检,节日礼物,弹性工作",后端开发,广州
375,互道信息技术（上海）有限公司,NextTao 互道信息,50-150人,B轮,浦东新区,PHP工程师,5-10年,本科,18k-30k,领导Nice 团队氛围好 技术氛围佳,"移动互联网,电商",开发|测试|运维类,"节日礼物,技能培训,年底双薪,年度旅游",后端开发,上海
376,北京众合天下管理咨询有限公司,51社保网,500-2000人,C轮,朝阳区,PHP实习生,在校/应届,本科,3k-4k,"Ｃ轮融资, 待遇一流, 公司技术氛围浓厚。团建。","企业服务,教育",开发|测试|运维类,"绩效奖金,专项奖金,带薪年假,弹性工作",后端开发,北京
377,深圳市易仓科技有限公司,易仓,150-500人,A轮,洪山区,PHP工程师,3-5年,本科,7k-12k,五险一金、员工旅游、专业培训、年终奖金,"移动互联网,电商",开发|测试|运维类,"节日礼物,带薪年假,年度旅游,岗位晋升",后端开发,武汉
