,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
108,丰疆智能（深圳）有限公司,丰疆智能,150-500人,不需要融资,南山区,高级java开发工程师,5-10年,本科,15k-30k,五险一金,人工智能,开发|测试|运维类,,后端开发,深圳
109,上海微创软件股份有限公司,微创软件,2000人以上,不需要融资,江夏区,java开发工程师,3-5年,本科,10k-15k,独角兽、大牛云集、扁平化、挑战高、成长快,"企业服务,移动互联网",开发|测试|运维类,"绩效奖金,带薪年假,定期体检,弹性工作",后端开发,武汉
110,成都至钦科技有限公司,至钦科技,15-50人,不需要融资,武侯区,java开发工程师,5-10年,本科,15k-25k,高并发、大用户量场景、直播、音视频、IM,社交,开发|测试|运维类,,后端开发,成都
111,成都伦索科技有限公司,伦索科技,15-50人,不需要融资,高新区,java开发工程师,3-5年,本科,13k-15k,弹性上班，双休，福利多，氛围佳，前景大,"文娱丨内容,电商",开发|测试|运维类,"年底多薪,发展空间大,数字媒体,福利丰富",后端开发,成都
112,深圳市嘉立创科技发展有限公司,深圳嘉立创,500-2000人,不需要融资,福田区,java开发工程师,3-5年,本科,14k-22k,平台稳定 丰厚的绩效奖金 技术栈先进,"电商,企业服务",开发|测试|运维类,"高成长,实业+互联网,行业领头羊,创新",后端开发,深圳
113,深圳彩智慧网络有限公司,彩智慧,15-50人,未融资,龙华新区,java开发工程师,3-5年,本科,13k-25k,清华、IBM资深专家带队，多元化工程师,"数据服务,移动互联网",开发|测试|运维类,,后端开发,深圳
114,北京直真科技股份有限公司,直真科技,500-2000人,上市公司,郫县,Java开发工程师,1-3年,本科,8k-16k,"弹性工作,周末双休,五险一金,氛围轻松",软件开发,开发|测试|运维类,,后端开发,成都
115,北京直真科技股份有限公司,直真科技,500-2000人,上市公司,郫县,java开发工程师,5-10年,本科,15k-20k,"弹性工作,周末双休,五险一金,氛围轻松",软件开发,开发|测试|运维类,,后端开发,成都
116,易宝软件科技（南京）有限公司,易宝软件科技（南京）有限公司,150-500人,上市公司,雨花台区,java开发工程师,1-3年,本科,12k-17k,双休，加班少，氛围好，薪资福利待遇好。,移动互联网,开发|测试|运维类,,后端开发,南京
117,杭州博彦信息技术有限公司,博彦科技,2000人以上,上市公司,西湖区,高级java开发工程师,3-5年,大专,14k-20k,大平台 大牛带队 有竞争力的薪资,"移动互联网,电商",开发|测试|运维类,"领导好,技能培训,管理规范,扁平管理",后端开发,杭州
118,赞同科技股份有限公司广州分公司,赞同科技,2000人以上,不需要融资,天河区,java开发工程师,1-3年,本科,8k-15k,基础研发,金融,开发|测试|运维类,,后端开发,广州
119,深圳对对科技有限公司,对对科技,50-150人,B轮,南山区,高级java开发工程师,5-10年,本科,25k-50k,"股票期权,周末双休,国内外旅游,行业爆发","移动互联网,社交",开发|测试|运维类,"绩效奖金,五险一金,领导耐撕,节日礼物",后端开发,深圳
120,成都揽明月科技有限公司,揽明月,50-150人,天使轮,高新区,高级java开发工程师,3-5年,本科,10k-20k,"技术氛围浓,花式下午茶,弹性上班","教育,文娱丨内容",开发|测试|运维类,"年终分红,弹性工作,扁平管理",后端开发,成都
121,无限云（厦门）信息科技有限公司,PaaSoo 无限云科技,15-50人,不需要融资,思明区,java开发工程师,3-5年,大专,8k-15k,良好的工作环境、人性化管理,企业服务,开发|测试|运维类,"专项奖金,股票期权,带薪年假,绩效奖金",后端开发,厦门
122,武汉朗蕴科技有限公司,朗蕴科技,50-150人,未融资,武汉经济技术开发区,java开发工程师,1-3年,大专,6k-9k,做五休二,移动互联网,开发|测试|运维类,"带薪年假,定期体检,周末双休,五险一金",后端开发,武汉
123,深圳市法本信息技术股份有限公司,法本信息,2000人以上,上市公司,南山区,java开发工程师,3-5年,大专,13k-20k,季度奖金 年终奖 朝九晚六 周末双休,"企业服务,软件开发",开发|测试|运维类,,后端开发,深圳
124,北京达佳互联信息技术有限公司,快手,2000人以上,D轮及以上,海淀区,高级java研发工程师,5-10年,本科,35k-55k,发展潜力好，福利待遇高,文娱丨内容,开发|测试|运维类,"股票期权,弹性工作,定期体检,岗位晋升",后端开发,北京
125,湖南长城信息金融设备有限责任公司,长城金融,500-2000人,上市公司,长沙县,java开发工程师,3-5年,不限,10k-15k,"朝阳行业,央企,五百强",移动互联网,开发|测试|运维类,,后端开发,长沙
126,北京联龙博通电子商务技术有限公司,联龙博通,2000人以上,D轮及以上,芙蓉区,java开发工程师,3-5年,本科,8k-15k,五险一金 周末双休 绩效奖金 餐饮补助,"移动互联网,电商",开发|测试|运维类,"节日礼物,技能培训,带薪年假,绩效奖金",后端开发,长沙
127,北京联龙博通电子商务技术有限公司,联龙博通,2000人以上,D轮及以上,海淀区,java工程师,3-5年,本科,12k-17k,五险一金 周末双休 绩效奖金 餐饮补助,"移动互联网,电商",开发|测试|运维类,"节日礼物,技能培训,带薪年假,绩效奖金",后端开发,北京
128,上海艾融软件股份有限公司,艾融股份,500-2000人,上市公司,浦东新区,Java,3-5年,本科,15k-18k,地铁出口 上市公司,"移动互联网,金融",开发|测试|运维类,"互联网金融,股票期权,顶级银行工程,技术大牛",后端开发,上海
129,杭州边锋网络技术有限公司,边锋,2000人以上,不需要融资,西湖区,java高级开发工程师,3-5年,本科,18k-25k,"免打卡,待遇佳,环境好","移动互联网,游戏",开发|测试|运维类,"五险一金,交通补助,绩效奖金,节日礼物",后端开发,杭州
130,上海维信荟智金融科技有限公司,维信金科,2000人以上,上市公司,虹口区,高级java开发工程师,3-5年,本科,20k-30k,周末双休 扁平化管理 团队氛围佳,金融,开发|测试|运维类,"技能培训,节日礼物,年底双薪,带薪年假",后端开发,上海
